"Sp","Order","diet_hoc","wild_status_reseq","IUCN","threatened","harm_mean_wt2","gw_het_mean","outbred_het_mode","froh","ppn_conserved","phylop_kurtosis","ppn_miss_conserved","het_miss_impc_L","het_miss_impc_V","het_lof_impc_L","het_lof_impc_V","hom_miss_impc_L","hom_miss_impc_V"
"Heterohyrax_brucei","HYRACOIDEA","Herbivore","captive","LC",0,3.3982506539,0.00478825,0.0045,0.0682398556,0.035252218,21.4159015231,0.076921288,0.2407566638,0.319049837,0,0.0018639329,0.235221843,0.3023332891
"Hippopotamus_amphibius","CETARTIODACTYLA","Herbivore","captive","VU",1,2.528971853,0.003224,0.002,0.1907329329,0.0262478294,25.3913528566,0.076710529,0.3195876289,0.36,0.0034364261,0.0019047619,0.2693654857,0.3594209887
"Hipposideros_armiger","CHIROPTERA","Carnivore","wild","LC",0,3.6933584038,0.00265067,0.002,0.0804071167,0.0279889423,23.7276176493,0.082295469,0.2860465116,0.367804878,0,0.003902439,0.2509374683,0.3366477616
"Hipposideros_galeritus","CHIROPTERA","Carnivore","wild","LC",0,3.4166881013,0.00463758,0.005,0.092652497,0.0302197776,24.1158612485,0.077680944,0.2723631509,0.3048283886,0.0053404539,0.0029137529,0.2434916758,0.3214346615
"Homo_sapiens","PRIMATES","Omnivore","domestic","LC",0,"NA","NA","NA","NA",0.0347135641,21.8592775379,"NA","NA","NA","NA","NA","NA","NA"
"Hyaena_hyaena","CARNIVORA","Carnivore","captive","NT",1,0.9935354319,0.00124806,0.001,0.2829604425,0.0242400686,24.7266757638,0.059783159,0.2788461538,0.3665158371,0,0,0.2290527626,0.3204456341
"Hydrochoerus_hydrochaeris","RODENTIA","Herbivore","wild","LC",0,1.1954805843,0.00097824,0.001,0.1916542939,0.0350081983,24.2955774365,0.08740239,0.3590425532,0.4504391468,0.0053191489,0.0037688442,0.2360773389,0.3246607901
"Hystrix_cristata","RODENTIA","Omnivore","captive","LC",0,2.263827527,0.00430313,0.0046,0.019435053,0.0282553045,24.8151153385,0.068109607,0.2960644007,0.3599704033,0.0044722719,0.0022205774,0.237066045,0.3159874746
"Ictidomys_tridecemlineatus","RODENTIA","Omnivore","captive","LC",0,15.9663619543,0.00401344,0.0005,0.2900693515,0.0293492753,24.986747369,0.066603515,0.4161958569,0.3701964133,0.013195099,0.0119760479,0.221298369,0.2963698242
"Indri_indri","PRIMATES","Herbivore","wild","CR",1,2.4183446504,0.00536382,0.0058,0.1972346911,0.028137625,23.8325803029,0.075374042,0.2740825688,0.3416898793,0.003440367,0.0018578727,0.2442517904,0.3414445019
"Inia_geoffrensis","CETARTIODACTYLA","Carnivore","wild","EN",1,0.555235307,0.00084139,0.0005,0.3604410035,0.0359107846,22.545651135,0.111483113,0.3133333333,0.4778761062,0,0.0044247788,0.3021041175,0.3821973112
"Jaculus_jaculus","RODENTIA","Herbivore","captive","LC",0,10.1415975208,0.00455942,0.0045,0.0071623679,0.0469982671,19.439070673,0.078332332,0.2799263352,0.3206437635,0.0024585126,0.0055779362,0.2168369287,0.2853798807
"Kogia_breviceps","CETARTIODACTYLA","Carnivore","wild","LC",0,1.6227718308,0.00670646,0.007,0.0129119639,0.0349233026,22.6724754144,0.110193853,0.2782258065,0.3305594082,0.0020181635,0.0027752081,0.3001726784,0.3859031906
"Lasiurus_borealis","CHIROPTERA","Carnivore","wild","LC",0,6.2806520196,0.00715341,0.0006,0.4373037797,0.04700051,19.3951517007,0.083973402,0.1929012346,0.2615701063,0.0046296296,0.0037722908,0.2305821025,0.2920573147
